Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,0,27,2293.0,42.31,2.572,211.0963582,8.106
2010-02-12,1,27,2339.5,38.51,2.548,211.2421698,8.106
2010-02-19,0,27,2494.5,39.93,2.514,211.2891429,8.106
2010-02-26,0,27,1666.75,46.63,2.561,211.3196429,8.106
2010-03-05,0,27,1467.5,46.5,2.625,211.3501429,8.106
2010-03-12,0,27,1130.0,57.79,2.667,211.3806429,8.106
2010-03-19,0,27,1214.0,54.58,2.72,211.215635,8.106
2010-03-26,0,27,1211.0,51.45,2.732,211.0180424,8.106
2010-04-02,0,27,934.5,62.27,2.719,210.8204499,7.808
2010-04-09,0,27,1111.25,65.86,2.77,210.6228574,7.808
2010-04-16,0,27,1021.5,66.32,2.808,210.4887,7.808
2010-04-23,0,27,1028.0,64.84,2.795,210.4391228,7.808
2010-04-30,0,27,1061.29,67.41,2.78,210.3895456,7.808
2010-05-07,0,27,966.75,72.55,2.835,210.3399684,7.808
2010-05-14,0,27,1139.35,74.78,2.854,210.3374261,7.808
2010-05-21,0,27,957.93,76.44,2.826,210.6170934,7.808
2010-05-28,0,27,864.92,80.44,2.759,210.8967606,7.808
2010-06-04,0,27,827.52,80.69,2.705,211.1764278,7.808
2010-06-11,0,27,965.3,80.43,2.668,211.4560951,7.808
2010-06-18,0,27,875.85,84.11,2.637,211.4537719,7.808
2010-06-25,0,27,935.32,84.34,2.653,211.3386526,7.808
2010-07-02,0,27,849.69,80.91,2.669,211.2235333,7.787
2010-07-09,0,27,837.51,80.48,2.642,211.108414,7.787
2010-07-16,0,27,897.88,83.15,2.623,211.1003854,7.787
2010-07-23,0,27,819.8,83.36,2.608,211.2351443,7.787
2010-07-30,0,27,882.13,81.84,2.64,211.3699032,7.787
2010-08-06,0,27,1317.52,87.16,2.627,211.5046621,7.787
2010-08-13,0,27,967.53,87.0,2.692,211.6394211,7.787
2010-08-20,0,27,1737.89,86.65,2.664,211.6033633,7.787
2010-08-27,0,27,1898.48,85.22,2.619,211.5673056,7.787
2010-09-03,0,27,867.29,81.21,2.577,211.5312479,7.787
2010-09-10,1,27,832.26,78.69,2.565,211.4951902,7.787
2010-09-17,0,27,728.02,82.11,2.582,211.5224596,7.787
2010-09-24,0,27,791.7,80.94,2.624,211.5972246,7.787
2010-10-01,0,27,1042.3,71.89,2.603,211.6719895,7.838
2010-10-08,0,27,1427.0,63.93,2.633,211.7467544,7.838
2010-10-15,0,27,1208.8,67.18,2.72,211.8137436,7.838
2010-10-22,0,27,1186.4,69.86,2.725,211.8612937,7.838
2010-10-29,0,27,1371.4,69.64,2.716,211.9088438,7.838
2010-11-05,0,27,1654.8,58.74,2.689,211.9563939,7.838
2010-11-12,0,27,1474.2,59.61,2.728,212.003944,7.838
2010-11-19,0,27,1884.6,51.41,2.771,211.8896737,7.838
2010-11-26,1,27,2099.1,64.52,2.735,211.7484333,7.838
2010-12-03,0,27,2385.59,49.27,2.708,211.607193,7.838
2010-12-10,0,27,3035.7,46.33,2.843,211.4659526,7.838
2010-12-17,0,27,3190.2,49.84,2.869,211.4053124,7.838
2010-12-24,0,27,4168.6,52.33,2.886,211.4051222,7.838
2010-12-31,1,27,1624.8,48.43,2.943,211.4049321,7.838
2011-01-07,0,27,1562.57,48.27,2.976,211.4047419,7.742
2011-01-14,0,27,1606.24,35.4,2.983,211.4574109,7.742
2011-01-21,0,27,1312.55,44.04,3.016,211.8272343,7.742
2011-01-28,0,27,1320.18,43.83,3.01,212.1970577,7.742
2011-02-04,0,27,2096.94,42.27,2.989,212.5668812,7.742
2011-02-11,1,27,1643.21,36.39,3.022,212.9367046,7.742
2011-02-18,0,27,1797.04,57.36,3.045,213.2478853,7.742
2011-02-25,0,27,1333.69,62.9,3.065,213.535609,7.742
2011-03-04,0,27,1273.55,59.58,3.288,213.8233327,7.742
2011-03-11,0,27,1420.55,53.56,3.459,214.1110564,7.742
2011-03-18,0,27,1340.76,62.76,3.488,214.3627114,7.742
2011-03-25,0,27,1232.91,69.97,3.473,214.5999389,7.742
2011-04-01,0,27,1167.0,59.17,3.524,214.8371664,7.682
2011-04-08,0,27,1054.96,67.84,3.622,215.0743939,7.682
2011-04-15,0,27,1072.68,71.27,3.743,215.2918561,7.682
2011-04-22,0,27,1061.68,72.99,3.807,215.4599053,7.682
2011-04-29,0,27,1020.54,72.03,3.81,215.6279544,7.682
2011-05-06,0,27,1016.2,64.61,3.906,215.7960035,7.682
2011-05-13,0,27,835.91,75.64,3.899,215.9640526,7.682
2011-05-20,0,27,914.25,67.63,3.907,215.7339202,7.682
2011-05-27,0,27,984.31,77.72,3.786,215.5037878,7.682
2011-06-03,0,27,895.74,83.0,3.699,215.2736553,7.682
2011-06-10,0,27,1027.89,83.13,3.648,215.0435229,7.682
2011-06-17,0,27,674.36,86.41,3.637,214.9980596,7.682
2011-06-24,0,27,642.82,83.58,3.594,215.0910982,7.682
2011-07-01,0,27,623.57,85.55,3.524,215.1841368,7.962
2011-07-08,0,27,677.97,85.83,3.48,215.2771754,7.962
2011-07-15,0,27,698.42,88.54,3.575,215.3611087,7.962
2011-07-22,0,27,727.57,85.77,3.651,215.4222784,7.962
2011-07-29,0,27,720.26,86.83,3.682,215.4834482,7.962
2011-08-05,0,27,997.04,91.65,3.684,215.544618,7.962
2011-08-12,0,27,815.45,90.76,3.638,215.6057878,7.962
2011-08-19,0,27,1360.46,89.94,3.554,215.6693107,7.962
2011-08-26,0,27,1698.89,87.96,3.523,215.7332258,7.962
2011-09-02,0,27,826.83,87.83,3.533,215.7971409,7.962
2011-09-09,1,27,786.47,76.0,3.546,215.861056,7.962
2011-09-16,0,27,806.31,79.94,3.526,216.0410526,7.962
2011-09-23,0,27,834.84,75.8,3.467,216.3758246,7.962
2011-09-30,0,27,939.73,79.69,3.355,216.7105965,7.962
2011-10-07,0,27,1295.94,69.31,3.285,217.0453684,7.866
2011-10-14,0,27,1228.98,71.74,3.274,217.3552733,7.866
2011-10-21,0,27,1785.51,63.71,3.353,217.5159762,7.866
2011-10-28,0,27,1422.84,66.57,3.372,217.6766791,7.866
2011-11-04,0,27,2002.85,54.98,3.332,217.837382,7.866
2011-11-11,0,27,1882.59,59.11,3.297,217.9980849,7.866
2011-11-18,0,27,1707.85,62.25,3.308,218.2205088,7.866
2011-11-25,1,27,1992.88,60.14,3.236,218.4676211,7.866
2011-12-02,0,27,1752.13,48.91,3.172,218.7147333,7.866
2011-12-09,0,27,2606.7,43.93,3.158,218.9618456,7.866
2011-12-16,0,27,4225.6,51.63,3.159,219.1794533,7.866
2011-12-23,0,27,5131.93,47.96,3.112,219.3577216,7.866
2011-12-30,1,27,2882.08,44.55,3.129,219.5359898,7.866
2012-01-06,0,27,1788.6,49.01,3.157,219.7142581,7.348
2012-01-13,0,27,1623.81,48.53,3.261,219.8925263,7.348
2012-01-20,0,27,1451.96,54.11,3.268,219.9856893,7.348
2012-01-27,0,27,966.46,54.26,3.29,220.0788523,7.348
2012-02-03,0,27,1915.13,56.55,3.36,220.1720153,7.348
2012-02-10,1,27,2367.25,48.02,3.409,220.2651783,7.348
2012-02-17,0,27,2538.15,45.32,3.51,220.4257586,7.348
2012-02-24,0,27,1784.56,57.25,3.555,220.636902,7.348
2012-03-02,0,27,1550.19,60.96,3.63,220.8480454,7.348
2012-03-09,0,27,1418.25,58.76,3.669,221.0591887,7.348
2012-03-16,0,27,1461.99,64.74,3.734,221.2118132,7.348
2012-03-23,0,27,1269.16,65.93,3.787,221.2864126,7.348
2012-03-30,0,27,1409.77,67.61,3.845,221.3610119,7.348
2012-04-06,0,27,1429.08,70.43,3.891,221.4356112,7.143
2012-04-13,0,27,983.69,69.07,3.891,221.5102105,7.143
2012-04-20,0,27,970.43,66.76,3.877,221.5640737,7.143
2012-04-27,0,27,1019.53,67.23,3.814,221.6179368,7.143
2012-05-04,0,27,1033.05,75.55,3.749,221.6718,7.143
2012-05-11,0,27,887.99,73.77,3.688,221.7256632,7.143
2012-05-18,0,27,921.0,70.33,3.63,221.742674,7.143
2012-05-25,0,27,775.09,77.22,3.561,221.744944,7.143
2012-06-01,0,27,1030.9,77.95,3.501,221.7472139,7.143
2012-06-08,0,27,1033.86,78.3,3.452,221.7494839,7.143
2012-06-15,0,27,822.19,79.35,3.393,221.7626421,7.143
2012-06-22,0,27,1030.06,78.39,3.346,221.8030211,7.143
2012-06-29,0,27,1010.07,84.88,3.286,221.8434,7.143
2012-07-06,0,27,993.52,81.57,3.227,221.8837789,6.908
2012-07-13,0,27,1018.36,77.12,3.256,221.9241579,6.908
2012-07-20,0,27,1241.1,80.42,3.311,221.9327267,6.908
2012-07-27,0,27,938.36,82.66,3.407,221.9412954,6.908
2012-08-03,0,27,1145.67,86.11,3.417,221.9498642,6.908
2012-08-10,0,27,1122.14,85.05,3.494,221.9584329,6.908
2012-08-17,0,27,1476.09,84.85,3.571,222.0384109,6.908
2012-08-24,0,27,1643.59,77.66,3.62,222.1719457,6.908
2012-08-31,0,27,1580.28,80.49,3.638,222.3054805,6.908
2012-09-07,1,27,1060.29,83.96,3.73,222.4390153,6.908
2012-09-14,0,27,857.88,74.97,3.717,222.5820193,6.908
2012-09-21,0,27,1047.27,69.87,3.721,222.7818386,6.908
2012-09-28,0,27,948.57,76.08,3.666,222.9816579,6.908
2012-10-05,0,27,1492.09,68.55,3.617,223.1814772,6.573
2012-10-12,0,27,1536.58,62.99,3.601,223.3812965,6.573
2012-10-19,0,27,1841.73,67.97,3.594,223.4257233,6.573
2012-10-26,0,27,1712.02,69.16,3.506,223.4442513,6.573
